benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_IDL/Averest/min_max/MinMax_live_bgmc002.smt2,ProB,4799.99106393
/data/SMT-LIB-non-incremental/QF_IDL/queens_bench/super_queen/super_queen9-1.smt2,ProB,4799.99072906
/data/SMT-LIB-non-incremental/QF_IDL/DTP/DTP_k2_n35_c175_s16.smt2,ProB,4799.99056603
/data/SMT-LIB-non-incremental/QF_IDL/mathsat/post_office/PO2-7-PO2.smt2,ProB,4799.99047705
/data/SMT-LIB-non-incremental/QF_IDL/DTP/DTP_k2_n35_c175_s12.smt2,ProB,4799.9899869
/data/SMT-LIB-non-incremental/QF_IDL/asp/MazeGeneration/maze-generation-width=10-height=10-density=0.01-run=3.smt2,ProB,4799.9849439
/data/SMT-LIB-non-incremental/QF_IDL/Averest/partition/Partition_live_blmc004.smt2,ProB,4799.9838819
/data/SMT-LIB-non-incremental/QF_IDL/job_shop/jobshop14-2-7-7-2-4-12.smt2,ProB,4799.983716
/data/SMT-LIB-non-incremental/QF_IDL/asp/MazeGeneration/maze-generation-width=10-height=10-density=0.01-run=4.smt2,ProB,4799.982777
/data/SMT-LIB-non-incremental/QF_IDL/qlock/qlock-4-10-5.induction.cvc.smt2,ProB,4799.9819219
/data/SMT-LIB-non-incremental/QF_IDL/Averest/partition/Partition_safe_blmc004.smt2,ProB,4799.9806169
/data/SMT-LIB-non-incremental/QF_IDL/DTP/DTP_k2_n35_c245_s11.smt2,ProB,4799.980524
/data/SMT-LIB-non-incremental/QF_IDL/diamonds/diamonds.11.3.i.a.u.smt2,ProB,4799.9795431
/data/SMT-LIB-non-incremental/QF_IDL/DTP/DTP_k2_n35_c210_s15.smt2,ProB,4799.979395
/data/SMT-LIB-non-incremental/QF_IDL/parity/04.100.graph.smt2,ProB,4799.9789471
/data/SMT-LIB-non-incremental/QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc008.smt2,ProB,4799.976251
/data/SMT-LIB-non-incremental/QF_IDL/Averest/sorting_network/SortingNetwork8_safe_blmc003.smt2,ProB,4799.976066
/data/SMT-LIB-non-incremental/QF_IDL/sal/bakery/inf-bakery-mutex-17.smt2,ProB,4799.9757981
/data/SMT-LIB-non-incremental/QF_IDL/schedulingIDL/j8_per20_2_mkspan1009.smt2,ProB,4799.972345
/data/SMT-LIB-non-incremental/QF_IDL/sal/bakery/inf-bakery-mutex-16.smt2,ProB,4799.971794
