benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sin/344/3/sin-344-3-weak-chunk-0027.smt2,Yices,2399.9843689
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-2-all-10.smt2,Yices,2399.9761771
/data/SMT-LIB-non-incremental/QF_NRA/kissing/kissing_4_5.smt2,Yices,2399.968335
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-2-all-8.smt2,Yices,2399.9663899
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0184.smt2,Yices,2399.9644571
/data/SMT-LIB-non-incremental/QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0052a.smt2,Yices,2399.96381
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/problem/13/sqrt-problem-13-chunk-0024.smt2,Yices,2399.963237
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill.04.seq_lazy_linear_enc_global_8.smt2,Yices,2399.9607351
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/etcs_braking_2.01.seq_lazy_linear_enc_global_7.smt2,Yices,2399.959327
/data/SMT-LIB-non-incremental/QF_NRA/kissing/kissing_4_6.smt2,Yices,2399.9562129
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0114.smt2,Yices,2399.955384
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0151.smt2,Yices,2399.9546079
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill.04.seq_lazy_linear_enc_lemmas_global_15.smt2,Yices,2399.95309
/data/SMT-LIB-non-incremental/QF_NRA/kissing/kissing_3_6.smt2,Yices,2399.950298
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill.05.seq_lazy_lemmas_global_15.smt2,Yices,2399.949857
