benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P914-008__trivial_test__a.adb_22_49_range_check___00.smt2,UE+MathSAT,2399.9731161
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P914-008__trivial_test__spark-unconstrained_array_lemmas.ads_56_56_a.adb_7_4_index_check___00.smt2,UE+MathSAT,2399.972842
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_ed87a5_homothetical-T-defqtvc__00.smt2,UE+MathSAT,2399.9720309
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_131422_homothetical-T-defqtvc__00.smt2,UE+MathSAT,2399.971864
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_6ce0dc_homothetical-T-defqtvc__00.smt2,UE+MathSAT,2399.9714621
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_efd45c_homothetical-T-defqtvc__00.smt2,UE+MathSAT,2399.971317
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_8ff0d3_homothetical-T-defqtvc__00.smt2,UE+MathSAT,2399.970757
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_c213c3_homothetical-T-defqtvc__00.smt2,UE+MathSAT,2399.97075
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P914-008__trivial_test__spark-unconstrained_array_lemmas.ads_56_46_a.adb_7_4_overflow_check___00.smt2,UE+MathSAT,2399.9692749
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_c64ebb_homothetical-T-defqtvc__00.smt2,UE+MathSAT,2399.9690581
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_ad70de_homothetical-T-defqtvc__00.smt2,UE+MathSAT,2399.9675229
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P914-008__trivial_test__a.adb_22_34_range_check___00.smt2,UE+MathSAT,2399.9672149
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/O429-046__flow_tasking_cfg__test.adb_6_11_ceiling__priority_protocol___00.smt2,UE+MathSAT,2399.965118
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/O429-046__flow_tasking_cfg__test.adb_8_36_division_check___00.smt2,UE+MathSAT,2399.9647131
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M227-029__flow_records_and_arrays__untangle_tests.adb_39_19_index_check___00.smt2,UE+MathSAT,2399.964599
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/K210-006__anontype1__anon_type.ads_7_19_postcondition___00.smt2,UE+MathSAT,2399.964486
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_50_25_index_check___00.smt2,UE+MathSAT,2399.9642971
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_32_24_discriminant_check___00.smt2,UE+MathSAT,2399.9634801
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_51_31_discriminant_check___00.smt2,UE+MathSAT,2399.9634741
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/K210-006__anontype1__anon_type.ads_7_45_overflow_check___00.smt2,UE+MathSAT,2399.963425
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_50_46_discriminant_check___00.smt2,UE+MathSAT,2399.9633949
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/prime_numbers__prime_and_coprime_numbers.adb_209_39_test_prime_and_coprime_numbers.adb_6_4_precondition___00.smt2,UE+MathSAT,2399.962798
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_60_47_index_check___00.smt2,UE+MathSAT,2399.962589
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_41_52_discriminant_check___00.smt2,UE+MathSAT,2399.962065
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_59_23_index_check___00.smt2,UE+MathSAT,2399.9619449
/data/SMT-LIB-non-incremental/AUFFPDTLIRA/20200306-Kanig/spark2014bench/S529-004__update_attr__relaxed_initialization.adb_41_27_discriminant_check___00.smt2,UE+MathSAT,2399.9615569
