benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_NRA/UltimateAutomizer/InVarSynth_EuclideanIntegerDivision.bpl_Iteration4_0.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.03.qfree_global_13.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E9E26.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.05.seq_lazy_linear_enc_lemmas_global_9.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.10.seq_lazy_global_11.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/Ultimate/Gulwani.bpl_Iteration1_Lasso_5-phaseTemplate.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/Ultimate/Collatz.bpl_Iteration1_Lasso_3-phaseTemplate.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0098.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0085.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.02.seq_lazy_linear_enc_global_15.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0526.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0205.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E11E21.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/CooperatingT2/queue_1000.t2.c_Iteration1_Loop_4-pieceTemplate.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/etcs_braking_2.01.seq_lazy_linear_enc_global_10.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_linear_enc_lemmas_global_13.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0063.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0184.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.02.redlog_global_11.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.04.seq_lazy_lemmas_global_13.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E6E26.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0132.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/CooperatingT2/sort.t2.c_Iteration15_Loop_4-pieceTemplate.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_lemmas_global_10.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/Chua/2/VC1/L/Chua-2-VC1-L-chunk-0067.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0043.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_affineTemplate.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E5E11.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0336.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.03.redlog_global_14.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/Ultimate/yPositive-SIscaled100.bpl_Iteration1_Loop_4-phaseTemplate.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0134.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sin/problem/8/sin-problem-8-chunk-0063.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.03.seq_lazy_lemmas_global_15.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/simple_ballistics_reach.01.seq_lazy_lemmas_global_9.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Lasso_3-pieceTemplate.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_slope.01.seq_lazy_linear_enc_global_12.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E3E8.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0044.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0413.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/problem/sqrt-problem-Melquiond2-chunk-0046.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/kissing/kissing_4_4.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.01.seq_lazy_global_13.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0158.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hong/hong_14.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0016.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E5E16.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill.02.seq_lazy_global_10.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0149.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.03.qfree_global_7.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0055a.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.03.seq_lazy_global_12.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0021e.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.03.seq_lazy_linear_enc_global_15.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.02.seq_lazy_linear_enc_lemmas_global_11.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/Ultimate/simple-scaled250.bpl_Iteration1_Lasso_6-phaseTemplate.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0073.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill.04.seq_lazy_lemmas_global_7.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/CooperatingT2/queens.t2.c_Iteration5_Loop_4-pieceTemplate.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/CooperatingT2/polyrank3.t2.c_Iteration5_Loop_4-pieceTemplate.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0058.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0215.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.10.seq_lazy_linear_enc_lemmas_global_11.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E8E21.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0373.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_slope.04.seq_lazy_linear_enc_lemmas_global_12.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/Ultimate/NonTerminationDifficult.bpl_Iteration1_Lasso_3-pieceTemplate.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0584.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.05.seq_lazy_lemmas_global_15.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill.05.redlog_global_15.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-4-all-27.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E1E14.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/etcs_braking_2.01.seq_lazy_global_15.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E3.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.05.qfree_global_13.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0421.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.02.seq_lazy_lemmas_global_9.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0113.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_slope.05.seq_lazy_linear_enc_lemmas_global_14.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.04.redlog_global_15.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/etcs_braking_2.01.redlog_global_9.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NRA/kissing/kissing_4_5.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0289.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.02.redlog_global_12.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.04.seq_lazy_linear_enc_global_15.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/Ultimate/yPositive-SIscaled100.bpl_Iteration1_Loop_2-pieceTemplate.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E11E12.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0103.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0266.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0313.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_lemmas_global_13.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sin/problem/10/sin-problem-10-2-chunk-0031.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0357.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0043.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/problem/2/weakT/atan-problem-2-weakT-chunk-0023.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-4-all-22.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.05.qfree_global_8.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/simple_ballistics_reach.01.seq_lazy_linear_enc_global_11.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/CooperatingT2/polyrank3.t2.c_Iteration8_Loop_4-pieceTemplate.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0463.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/problem/12vars3/sqrt-problem-12vars3-chunk-0055.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_slope.05.seq_lazy_linear_enc_global_5.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E15E19.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/Ultimate/Collatz.bpl_Iteration1_Loop_7-nestedTemplate.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0027.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Loop_2-pieceTemplate.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0430.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.03.seq_lazy_global_6.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration6_Loop_3-pieceTemplate.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/Chua/2/IL/U/Chua-2-IL-U-chunk-0069.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0189.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/SV-COMP/Masse_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/cos/problem/5/cos-problem-5-chunk-0044.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0072.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_global_4.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.04.seq_lazy_global_9.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/polypaver/sqrt-circles/2a/polypaver-sqrt-circles-2a-chunk-0017.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_7-phaseTemplate.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E1E26.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0062.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill.03.seq_lazy_lemmas_global_10.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration5_Loop_4-pieceTemplate.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0590.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/etcs_braking_2.01.qfree_global_9.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E18E22.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0044.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_global_15.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.03.qfree_global_12.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/functions1.i_3_5_2.bpl_9.smt2,SMTRAT-CDCAC,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/CooperatingT2/polyrank4.t2.c_Iteration10_Loop_2-pieceTemplate.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_lemmas_global_12.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.01.seq_lazy_linear_enc_global_12.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_NRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_6-phaseTemplate.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0123.smt2,SMTRAT-MCSAT,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0139.smt2,veriT+raSAT+Redlog,0.0
/data/SMT-LIB-non-incremental/QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0329.smt2,Yices,0.0
