benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_IDL/queens_bench/n_queen/queen99-1.smt2,ProB,4798.99369
/data/SMT-LIB-non-incremental/QF_IDL/queens_bench/toroidal_bench/toroidal_queen35-1.smt2,veriT,4797.88162
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.8.schur.lp.smt2,Yices (2018),4781.2892
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_21_21_05.lp.smt2,SMTInterpol,4361.214
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.13.x.13.b.5.a.15_sat.data.smt2,Z3,4268.654
/data/SMT-LIB-non-incremental/QF_IDL/asp/Solitaire/solitaire-asymmetric-time=31.smt2,Yices,4255.4529999999995
/data/SMT-LIB-non-incremental/QF_IDL/qlock/qlock-4-10-38.base.cvc.smt2,Yices,3917.929
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.14.x.14.b.8.a.30_unsat.data.smt2,Z3,3769.76
/data/SMT-LIB-non-incremental/QF_IDL/fuzzy-matrix/Zantema_z053.srs_slice-8_constraint-227740.smt2,CVC4,3629.67
/data/SMT-LIB-non-incremental/QF_IDL/fuzzy-matrix/relative_zr10.srs_slice-5_constraint-295501.smt2,SMTInterpol,3529.58
/data/SMT-LIB-non-incremental/QF_IDL/asp/GraphColouring/graph-colouring-nodes=145-density=0.1-instance=10.smt2,Yices (2018),3471.7799999999997
/data/SMT-LIB-non-incremental/QF_IDL/job_shop/jobshop20-2-10-10-4-4-11.smt2,Z3,3095.7799999999997
/data/SMT-LIB-non-incremental/QF_IDL/schedulingIDL/j8_per0_1_mkspan1038.smt2,Yices (2018),2965.63
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.15.x.15.b.10.a.20_sat.data.smt2,Z3,2901.85
/data/SMT-LIB-non-incremental/QF_IDL/mathsat/fischer/FISCHER14-14-ninc.smt2,CVC4,2889.6
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_22_22_08.lp.smt2,CVC4,2740.97
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.15.x.15.b.11.25.a.45_sat.data.smt2,Z3,1547.5743
/data/SMT-LIB-non-incremental/QF_IDL/bcnscheduling/bcnscheduling142.smt2,Yices (2018),1414.1911
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_18_18_11.lp.smt2,Yices (2018),889.3100000000001
/data/SMT-LIB-non-incremental/QF_IDL/mathsat/fischer/FISCHER14-13-ninc.smt2,Yices,820.425
/data/SMT-LIB-non-incremental/QF_IDL/asp/GraphPartitioning/rand_25_300_1235843609_0_k=5_v=7_e=40_sat.gph.smt2,Yices,739.8543
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.19.schur.lp.smt2,Yices,638.027
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.13.x.13.b.7.a.30_sat.data.smt2,Z3,614.043
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.4.schur.lp.smt2,Z3,384.2723
/data/SMT-LIB-non-incremental/QF_IDL/asp/Solitaire/solitaire-center-time=30.smt2,Z3,352.5937
/data/SMT-LIB-non-incremental/QF_IDL/asp/MazeGeneration/maze-generation-width=19-height=19-density=0.01-run=1.smt2,Z3,276.265
/data/SMT-LIB-non-incremental/QF_IDL/asp/Hanoi/mgs_towers-hanoi.110_7.smt2,Yices,270.533
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.14.schur.lp.smt2,Z3,257.325
/data/SMT-LIB-non-incremental/QF_IDL/asp/GraphColouring/graph-colouring-nodes=130-density=0.1-instance=10.smt2,Z3,229.7739
/data/SMT-LIB-non-incremental/QF_IDL/asp/ConnectedDominatingSet/rand_70_250_1235844252_0_k=13_sat.gph.smt2,Yices (2018),225.23644000000002
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.1.schur.lp.smt2,Z3,202.4101
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_18_18_04.lp.smt2,Yices (2018),154.50800000000004
/data/SMT-LIB-non-incremental/QF_IDL/asp/HamiltonianPath/random.8.lp.smt2,Z3,153.76889999999997
