benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8268697362658064460.smt2,MathSAT,23999.9373189
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__4NestedWith3Variables_true-termination.c__p20305_terminationG_0.smt2,MathSAT,23893.58
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__mc91test.t2__p3028_terminationG_0.smt2,MathSAT,4800.0
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT205711926841620090.smt2,CVC4,4799.9894779
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT515267918099496688.smt2,MathSAT,4799.9885391
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3514190349462039560.smt2,MathSAT,4799.9874481
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3014044190913457703.smt2,CVC4,4799.986118
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1762851132686701632.smt2,CVC4,4799.9857069
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8739079467798956217.smt2,MathSAT,4799.9853471
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT9169917326916030775.smt2,MathSAT,4799.984953
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1870041707088237226.smt2,CVC4,4799.9842381
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8108707499591209996.smt2,CVC4,4799.9827359
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2009100678255555196.smt2,MathSAT,4799.980515
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3390118783622012441.smt2,MathSAT,4799.979631
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1656844573245055412.smt2,CVC4,4799.979109
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2274009016844639770.smt2,MathSAT,4799.979034
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3199946023357429489.smt2,MathSAT,4799.978929
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8588987253354168279.smt2,MathSAT,4799.9760369
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Singapore_plus_false-termination.c__p27334_edge_closing_0.smt2,CVC4,4799.9749029
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3224313574983587603.smt2,CVC4,4799.9747051
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2487505398359820795.smt2,MathSAT,4799.9716709
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT5225433025748402802.smt2,MathSAT,4799.96665
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3326394388708699704.smt2,MathSAT,4799.9662179
