benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_linear_enc_global_2.smt2,MathSAT5,2399.9833799
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-1-all-9.smt2,MathSAT5,2399.979724
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-1-all-32.smt2,MathSAT5,2399.977087
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_global_4.smt2,CVC4,2399.9769459
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-1-all-27.smt2,MathSAT5,2399.973717
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_slope.04.seq_lazy_linear_enc_global_8.smt2,MathSAT5,2399.970332
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.04.qfree_global_8.smt2,MathSAT5,2399.9612661
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.04.redlog_global_8.smt2,CVC4,2399.961249
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill.04.seq_lazy_linear_enc_lemmas_global_15.smt2,Yices,2399.95309
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.04.redlog_global_8.smt2,SMTRAT-MCSAT,2399.9520809
/data/SMT-LIB-non-incremental/QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel1001a.smt2,veriT+raSAT+Redlog,2399.950848
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.01.qfree_global_10.smt2,MathSAT5,2399.9461289
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.03.qfree_global_8.smt2,MathSAT5,2399.9172859
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/simple_ballistics_reach.01.seq_lazy_linear_enc_global_1.smt2,MathSAT5,2399.9134921
/data/SMT-LIB-non-incremental/QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0055a.smt2,Z3,2399.9018961
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.01.redlog_global_6.smt2,Z3,2399.898134
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.03.redlog_global_10.smt2,MathSAT5,2399.896938
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.02.seq_lazy_lemmas_global_10.smt2,MathSAT5,2399.89251
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.02.seq_lazy_lemmas_global_8.smt2,MathSAT5,2399.892483
/data/SMT-LIB-non-incremental/QF_NRA/zankl/matrix-4-all-2.smt2,CVC4,2399.882719
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.02.seq_lazy_linear_enc_lemmas_global_8.smt2,MathSAT5,2399.88166
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_slope.01.seq_lazy_linear_enc_global_12.smt2,CVC4,2399.880489
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.03.redlog_global_8.smt2,MathSAT5,2399.875636
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill.01.seq_lazy_linear_enc_global_10.smt2,CVC4,2399.87143
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_plain.02.seq_lazy_linear_enc_lemmas_global_6.smt2,Z3,2399.857311
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_linear_enc_global_10.smt2,MathSAT5,2399.855531
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/simple_ballistics_reach.01.seq_lazy_global_1.smt2,MathSAT5,2399.835651
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.03.seq_lazy_global_12.smt2,CVC4,2399.822325
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_global_12.smt2,MathSAT5,2399.816365
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill.01.seq_lazy_linear_enc_lemmas_global_14.smt2,CVC4,2399.815409
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_2d_hill_simple.03.seq_lazy_linear_enc_global_12.smt2,SMTRAT-MCSAT,2399.811616
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.03.seq_lazy_global_12.smt2,SMTRAT-MCSAT,2399.796519
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.05.qfree_global_12.smt2,MathSAT5,2399.795212
/data/SMT-LIB-non-incremental/QF_NRA/hycomp/ball_count_1d_plain.02.seq_lazy_global_12.smt2,CVC4,2399.789056
