benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_82_14_postcondition___00.smt2,Alt-Ergo,2399.9691411
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/prime_numbers__prime_and_coprime_numbers.adb_61_20_test_prime_and_coprime_numbers.adb_6_4_range_check___00.smt2,Alt-Ergo,2399.938306
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/riposte__arithmetic__arithmetic.adb_257_37_overflow_check___00.smt2,Alt-Ergo,2399.9125981
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/M531-021__invariant_example__p2.ads_12_37_overflow_check___00.smt2,Alt-Ergo,2399.891539
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/O512-022__pgcd_ppcm__a.ads_17_7_postcondition___00.smt2,Alt-Ergo,2399.885708
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P201-069__simulink__simulink_functions.adb_236_52_overflow_check___00.smt2,Alt-Ergo,2399.872944
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R220-054__fixed_point_small__fp_test_div.ads_17_14_postcondition___00.smt2,Alt-Ergo,2399.866211
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/Q328-034__mut_discr__values-operations.adb_69_28_overflow_check___00.smt2,CVC4,2399.780516
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/O813-018__fixed_points__integer_fixed.adb_65_25_assert___00.smt2,Alt-Ergo,2399.762313
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/prime_numbers__prime_and_coprime_numbers.adb_36_38_test_prime_and_coprime_numbers.adb_6_4_contract_case___00.smt2,CVC4,2399.714217
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_702a81_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,CVC4,2399.300048
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/NA03-016__flow_constants__raster_graphics.adb_16_24_overflow_check___00.smt2,Vampire,63.358223100000004
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/NA03-016__flow_constants__raster_graphics.adb_16_33_overflow_check___00.smt2,Vampire,61.935987
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_58_17_overflow_check___00.smt2,Vampire,61.803841999999996
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_67_17_overflow_check___00.smt2,Vampire,60.781537
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_85_17_overflow_check___00.smt2,Vampire,60.5515571
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_118_24_overflow_check___00.smt2,Vampire,60.0667341
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_151_20_overflow_check___00.smt2,Vampire,59.949303099999995
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_100_16_overflow_check___00.smt2,Vampire,59.6837221
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mul_lemmas.adb_144_16_overflow_check___00.smt2,Vampire,59.5455351
