benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.716193.smt2,UE+MathSAT,2399.9889939
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/FFT/smtlib.935711.smt2,UE+MathSAT,2399.988718
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.1046335.smt2,UE+MathSAT,2399.9886
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1348003.smt2,SMTInterpol,2399.9881809
/data/SMT-LIB-non-incremental/UFLIA/boogie/Arrays_Q2-noinfer.smt2,UE+MathSAT,2399.9881021
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/z3.688193.smt2,UE+MathSAT,2399.9880939
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/FFT/smtlib.721451.smt2,UE+MathSAT,2399.9868441
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.837321.smt2,SMTInterpol,2399.9862659
/data/SMT-LIB-non-incremental/UFLIA/tokeneer/configdata/writefile/workinghourstext-6.smt2,UE+MathSAT,2399.986036
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.807902.smt2,Z3,2399.9843909
/data/SMT-LIB-non-incremental/UFLIA/tokeneer/auditlog/addelementtologfile-3.smt2,UE+MathSAT,2399.98408
/data/SMT-LIB-non-incremental/UFLIA/tokeneer/display/combinelines-12.smt2,UE+MathSAT,2399.983925
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1054961.smt2,UE+MathSAT,2399.981418
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.filespace.Resolve.490.smt2,UE+MathSAT,2399.979274
/data/SMT-LIB-non-incremental/UFLIA/grasshopper/uninstantiated/insertion_sort_loop_check_heap_access_42_4.smt2,SMTInterpol,2399.9783371
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.ast.LexicalPragmaVec.218.smt2,UE+MathSAT,2399.9781889
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.ast.ExprVec.138.smt2,UE+MathSAT,2399.978109
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.ast.VarInitVec.431.smt2,UE+MathSAT,2399.977755
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.util.StackVector.002.smt2,SMTInterpol,2399.9767911
/data/SMT-LIB-non-incremental/UFLIA/grasshopper/instantiated/difference_precondition_of_difference_38_15.smt2,SMTInterpol,2399.9760399
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.reader.CachedReader.602.smt2,SMTInterpol,2399.975876
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.734483.smt2,SMTInterpol,2399.975371
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.util.Set.015.smt2,SMTInterpol,2399.97522
/data/SMT-LIB-non-incremental/UFLIA/grasshopper/uninstantiated/difference_postcondition_of_difference_31_8.smt2,UE+MathSAT,2399.9748601
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.Identifier.007.smt2,UE+MathSAT,2399.974493
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Arrow_Order/smtlib.837820.smt2,SMTInterpol,2399.9743121
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.reader.CachedReader.006.smt2,SMTInterpol,2399.9742761
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.filespace.LookAheadEnum.005.smt2,UE+MathSAT,2399.9737059
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1023176.smt2,UE+MathSAT,2399.97203
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.TypeDeclElemVec.011.smt2,UE+MathSAT,2399.9717691
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.ast.ImportDeclVec.186.smt2,UE+MathSAT,2399.970983
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.ast.VarInitVec.439.smt2,UE+MathSAT,2399.970442
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.tc.FieldDeclVec.011.smt2,UE+MathSAT,2399.9702341
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.util.SubCorrelatedReader.002.smt2,UE+MathSAT,2399.9699281
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.util.FilterCorrelatedReader.006.smt2,SMTInterpol,2399.968866
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.filespace.PkgTree.479.smt2,SMTInterpol,2399.9687009
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.reader.CachedReader.599.smt2,SMTInterpol,2399.9682939
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.filespace.FileTree.463.smt2,SMTInterpol,2399.9678651
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.TypeDeclVec.021.smt2,UE+MathSAT,2399.9676861
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.tc.MethodDeclVec.699.smt2,UE+MathSAT,2399.967368
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.tc.OutsideEnv.700.smt2,UE+MathSAT,2399.9665871
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.util.BufferedCorrelatedReader.006.smt2,UE+MathSAT,2399.965181
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.ast.LexicalPragmaVec.019.smt2,SMTInterpol,2399.9641851
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.filespace.Resolve.487.smt2,SMTInterpol,2399.9641761
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.util.FileCorrelatedReader.786.smt2,SMTInterpol,2399.964113
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.filespace.UnionTree.008.smt2,SMTInterpol,2399.9631849
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.631403.smt2,SMTInterpol,2399.963014
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.993916.smt2,Z3,2399.9619429
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.parser.ParseType.004.smt2,UE+MathSAT,2399.9615991
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.701424.smt2,UE+MathSAT,2399.961528
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.tc.FieldDeclVec.676.smt2,SMTInterpol,2399.9608731
/data/SMT-LIB-non-incremental/UFLIA/tokeneer/tokenreader/init-8.smt2,SMTInterpol,2399.960379
/data/SMT-LIB-non-incremental/UFLIA/tokeneer/tokenreader/init-9.smt2,UE+MathSAT,2399.9598951
