benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/O512-022__prefix_sum__prefixsum_general.adb_13_13_loop_invariant_preserv___00.smt2,Alt-Ergo,2399.292949
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_58_32_loop_invariant_init___00.smt2,Alt-Ergo,2384.6345
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_134_13_loop_invariant_preserv46___00.smt2,Alt-Ergo,2360.8937
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_58_32_loop_invariant_preserv___00.smt2,Alt-Ergo,1641.8220000000001
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_69_67_overflow_check___00.smt2,Alt-Ergo,480.192234
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_38_32_loop_invariant_preserv___00.smt2,Vampire,472.79944009999997
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_a14f57_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,217.2645091
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/O512-022__prefix_sum__prefixsum_expanded.adb_58_15_loop_invariant_preserv___00.smt2,Alt-Ergo,205.62490000000003
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/QB10-026__counterexample__cartesian.adb_31_35_loop_invariant_init___00.smt2,Vampire,178.4255209
/data/SMT-LIB-non-incremental/AUFDTNIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_134_13_loop_invariant_preserv___00.smt2,Vampire,99.7500119
