benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__029.smt2.slack.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/bofill-scheduling/SMT_random_LIA/ex20800_2600_100.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1237.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage17.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/bofill-scheduling/SMT_real_LIA/ex7080_2400_100.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/int_from_list/prp-45-46.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/slacks/45-7.slack.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1144.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp14_8vars_1ite_unsat.smt2,SPASS-SATT (2018),0.0
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__004.smt2.slack.smt2,SPASS-SATT (2018),0.0
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/unbd-sage/unbd050v55c/unbd-sage9.smt2,SPASS-SATT (2018),0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/checkpass_pwd/prp-28-39.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/checkpass_pwd/prp-4-35.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/checkpass_pwd/prp-5-36.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/bftpd_login/prp-47-47.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem_2__031.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp6_9vars_4ite_unsat.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/dillig/35-17.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-1908553.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/getoption_directories/prp-13-50.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/bftpd_login/prp-12-50.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/bftpd_login/prp-60-47.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/checkpass/prp-29-47.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem__029.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/mygetpwnam/prp-1-47.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/pidgeons/pigeon-hole-9.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/bofill-scheduling/SMT_random_LIA/ex28700_2600_100.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1140.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/cut_lemmas/20-vars/cut_lemma_03_017.smt2,Ctrl-Ergo,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/checkpass_pwd/prp-38-45.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/user_is_in_group/prp-1-47.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/getoption/prp-1-200.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/med/checkpass_pwd/prp-14-28.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/mathsat/FISCHER11-12-fair.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/mathsat/FISCHER2-7-fair.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem__034.smt2.slack.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/bftpd_login/prp-64-50.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_LIA/bofill-scheduling/SMT_random_LIA/ex28200_2600_100.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/user_is_in_group/prp-11-47.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/bofill-scheduling/SMT_real_LIA/ex3900_2400_100.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-2121292.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/checkpass/prp-6-50.smt2,Ctrl-Ergo,0.0
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/smt/25-vars/problem_2__013.smt2,SPASS-SATT,0.0
/data/SMT-LIB-non-incremental/QF_LIA/bofill-scheduling/SMT_real_LIA/ex6920_2400_100.smt2,Yices,0.0
