benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_NIA/calypto/problem-002452.cvc.1.smt2,AProVE,2399.9899
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3966598164126103377.smt2,AProVE,2399.987177
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3352863488010942798.smt2,AProVE,2399.984397
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__loop3.t2__term_unfeasibility_37_0.smt2,AProVE,2399.9843821
/data/SMT-LIB-non-incremental/QF_NIA/leipzig/term-OxDFxz.smt2,SMTRAT,2399.9842919
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8905617556383795985.smt2,AProVE,2399.983918
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT9169917326916030775.smt2,AProVE,2399.9829509
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NonTerminationSimple2_false-termination.c__p24995_terminationG_0.smt2,AProVE,2399.9828081
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__prime.t2_fixed__p8275_terminationG_0.smt2,SMTRAT,2399.982755
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8452270181291996905.smt2,AProVE,2399.982661
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-ex07.jar-obl-9__p13715_terminationG_0.smt2,AProVE,2399.9826341
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT7735429157939642091.smt2,AProVE,2399.9825799
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2050057098634636689.smt2,AProVE,2399.98227
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1158307652508608843.smt2,AProVE,2399.982171
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8147214995430326664.smt2,SMTRAT,2399.981978
/data/SMT-LIB-non-incremental/QF_NIA/LassoRanker/HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,Z3,2399.981894
/data/SMT-LIB-non-incremental/QF_NIA/LassoRanker/MutualRecursion_1a_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,SMTRAT,2399.981637
/data/SMT-LIB-non-incremental/QF_NIA/calypto/problem-001115.cvc.1.smt2,AProVE,2399.9808639
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex2.t2__p22465_terminationG_0.smt2,SMTRAT,2399.9807291
/data/SMT-LIB-non-incremental/QF_NIA/LassoRanker/HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration2_Lasso+nonterminationTemplate_0.smt2,Z3,2399.9802809
