benchmark,prediction,loss
/data/SMT-LIB-non-incremental/NRA/keymaera/accelerating-node2100.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/dccs-example-node6709.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node577.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node43393.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/dynamic_reaction_to_static_bounds.proof-node849.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/dynamic_reaction_to_static_bounds.proof-node819.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node38396.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-disturbed.proof-node770.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live2.proof-node640.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node11162.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-disturbed-node4537.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node48386.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node54870.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node12517.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node32249.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/dccs-example-node3896.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/reactivity-lemma-node4238.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/binary_driver-2007-10-09-node10280.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/vsli.proof-node2282.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node39751.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/rbc-controllability-characterisation-node3243.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/binary_driver-2007-10-09-node8745.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-node1346.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/safety-lemma-node13046.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node29839.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/vsl.proof-node1748.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/dynamic_reaction_to_static_bounds.proof-node829.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/safety-lemma-node9082.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node3855.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-node2220.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/dccs-example-node6708.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node16159.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node23371.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/binary_driver-2007-10-09-node13792.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/dccs-example-node6709-new.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-d-braking-node2220.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node40206.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/binary_driver-2007-10-09-node11384.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/dccs-example-node6708-new.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-d-braking-node1346.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node41056.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/vsl.proof-node2228.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/rbc-controllability-characterisation-node3299.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node41402.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/bouncing-ball-simple-node5981.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37008.smt2,CVC4,0.0
