benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_LIA/rings_preprocessed/ring_2exp10_9vars_8ite_unsat.smt2,Yices,4799.985224
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_003.smt2.slack.smt2,SPASS-SATT (2018),4799.9591851
/data/SMT-LIB-non-incremental/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_11.msat.smt2,Yices,4799.800442
/data/SMT-LIB-non-incremental/QF_LIA/convert/convert-jpg2gif-query-1484.smt2,SPASS-SATT,4799.799713
/data/SMT-LIB-non-incremental/QF_LIA/miplib2003/p2756.sat.smt2,Z3,4799.602111
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-1908553.smt2,Yices,4799.115318
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-649088.smt2,Yices,4798.91756
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-2306960.smt2,SPASS-SATT,4797.42601
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-1065256.smt2,SPASS-SATT,4796.01474
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-1138192.smt2,SPASS-SATT (2018),4793.07188
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-569261.smt2,SPASS-SATT,4790.43403
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-1205831.smt2,SPASS-SATT (2018),4787.7359
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-1576874.smt2,Ctrl-Ergo,4787.3238
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-2186643.smt2,SPASS-SATT (2018),4782.6881
/data/SMT-LIB-non-incremental/QF_LIA/miplib2003/ds.sat.smt2,Z3,4781.3157
/data/SMT-LIB-non-incremental/QF_LIA/miplib2003/protfold.sat.smt2,SPASS-SATT,4763.8818
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-1060546.smt2,SPASS-SATT,4759.8796
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-2407640.smt2,veriT,4759.3717
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-1564491.smt2,SPASS-SATT,4743.2831
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-255468.smt2,Z3,4741.9402
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-2050620.smt2,veriT,4699.425
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-368069.smt2,veriT,4690.439
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-487307.smt2,Ctrl-Ergo,4689.792
/data/SMT-LIB-non-incremental/QF_LIA/miplib2003/disctom.sat.smt2,Yices,4689.267
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-928960.smt2,SPASS-SATT (2018),4666.485
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-495717.smt2,CVC4,4612.142
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage0.smt2,veriT,4588.838
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-506600.smt2,SPASS-SATT (2018),4474.875
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-2783581.smt2,SPASS-SATT (2018),4302.909
/data/SMT-LIB-non-incremental/QF_LIA/miplib2003/air04.sat.smt2,Yices,4238.077
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-904583.smt2,veriT,4202.95
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-3055292.smt2,SPASS-SATT,3941.636
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-603294.smt2,veriT,3821.582
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage2.smt2,SPASS-SATT,3153.05
/data/SMT-LIB-non-incremental/QF_LIA/cut_lemmas/20-vars/cut_lemma_02_014.smt2,SPASS-SATT,2032.9328
/data/SMT-LIB-non-incremental/QF_LIA/RWS/Example_11.txt.smt2,CVC4,1441.444
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-943653.smt2,Ctrl-Ergo,1418.7459999999999
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/getoption_directories/prp-4-112.smt2,CVC4,1307.4221
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-2465898.smt2,SPASS-SATT (2018),1209.4349
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-1345233.smt2,SPASS-SATT (2018),1046.3653
/data/SMT-LIB-non-incremental/QF_LIA/bofill-scheduling/SMT_real_LIA/ex5040_2400_100.smt2,Yices,932.838
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-221609.smt2,Z3,899.3223
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-1290859.smt2,SPASS-SATT (2018),888.2602
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-1185949.smt2,SPASS-SATT (2018),800.3877
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-283008.smt2,Yices,733.6959
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/getoption_directories/prp-3-111.smt2,Z3,683.057
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-357303.smt2,Z3,627.024
/data/SMT-LIB-non-incremental/QF_LIA/cut_lemmas/20-vars/cut_lemma_03_009.smt2,SPASS-SATT (2018),615.7002381
/data/SMT-LIB-non-incremental/QF_LIA/tropical-matrix/constraint-269353.smt2,Z3,604.021
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-863289.smt2,Yices,589.8420000000001
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-365451.smt2,Yices,583.8811999999999
/data/SMT-LIB-non-incremental/QF_LIA/arctic-matrix/constraint-618384.smt2,Ctrl-Ergo,537.5621
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/getoption_directories/prp-3-110.smt2,Z3,533.432
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/getoption_directories/prp-2-112.smt2,Yices,520.97
