benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere3/unconstrained09.smt2,MathSAT5,2399.9806221
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_wp_md5sum.md5_process_block.il.wp.smt2,MathSAT5,2399.9731009
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/fifo32in08k09.smt2,Z3,2399.897747
/data/SMT-LIB-non-incremental/QF_ABV/platania/no_init_selection_sort/no_init_selection_sort_unsafe12.c.smt2,CVC4,2399.846263
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/fifo32in10k10.smt2,Yices,2399.71263
/data/SMT-LIB-non-incremental/QF_ABV/bmc-arrays/ex36.smt2,Z3,2399.52343
/data/SMT-LIB-non-incremental/QF_ABV/platania/no_init_multi_member/no_init_multi_member23.smt2,Z3,2399.383598
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_wp_csplit.optimize_subexps.il.wp.smt2,CVC4,2399.286691
/data/SMT-LIB-non-incremental/QF_ABV/platania/no_init_multi_member/no_init_multi_member25.smt2,Z3,2399.23074
/data/SMT-LIB-non-incremental/QF_ABV/stp/grep0117.stp.smt2,Z3,2399.039969
/data/SMT-LIB-non-incremental/QF_ABV/platania/no_init_multi_delete/no_init_multi_delete51.smt2,Z3,2398.60374
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_true_functions_dwp_sha1sum.sha1_process_block.il.dwp.smt2,MathSAT5,2397.98042
/data/SMT-LIB-non-incremental/QF_ABV/calc2/calc2_sec2_bmc15.atlas.smt2,Z3,2397.51591
/data/SMT-LIB-non-incremental/QF_ABV/2019-Wolf-fmbench/2018E/zipcpu-busdelay-unrolled-mem.smt2,Z3,2395.65401
/data/SMT-LIB-non-incremental/QF_ABV/calc2/calc2_sec2_mult_bmc15.atlas.smt2,Z3,2395.46028
/data/SMT-LIB-non-incremental/QF_ABV/platania/no_init_multi_delete/no_init_multi_delete105.smt2,CVC4,2393.55279
/data/SMT-LIB-non-incremental/QF_ABV/calc2/calc2_sec2_adder_bmc25.atlas.smt2,Z3,2392.51656
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/fifo32ia06k08.smt2,Z3,2391.30041
/data/SMT-LIB-non-incremental/QF_ABV/platania/no_init_multi_delete/no_init_multi_delete155.smt2,MathSAT5,2384.6183
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/wchains080ue.smt2,MathSAT5,2384.2156
/data/SMT-LIB-non-incremental/QF_ABV/platania/no_init_multi_delete/no_init_multi_delete175.smt2,Z3,2379.7765
/data/SMT-LIB-non-incremental/QF_ABV/2019-Wolf-fmbench/2019A/picorv32_mutAX_QF_ABV_NONINCR.smt2,MathSAT5,2377.6344
/data/SMT-LIB-non-incremental/QF_ABV/2019-Wolf-fmbench/2018E/picorv32-pcregs-unrolled-mem.smt2,CVC4,2369.1958
/data/SMT-LIB-non-incremental/QF_ABV/platania/no_init_multi_delete/no_init_multi_delete65.smt2,CVC4,2351.9982
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/selsort009un.smt2,CVC4,2330.8044
/data/SMT-LIB-non-incremental/QF_ABV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-unrolled-mem.smt2,Z3,2323.8588
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/selsort010un.smt2,CVC4,2297.23
/data/SMT-LIB-non-incremental/QF_ABV/jager/jagertest2.smt2,Z3,2256.883
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere2/countbitstable064.smt2,Z3,2227.386
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere2/countbitstableuninit1024.smt2,CVC4,2167.764
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/swapmem054se.smt2,Z3,1138.81
