benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_IDL/queens_bench/toroidal_bench/toroidal_queen55-1.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/HierarchicalClustering/xy.14.x.14.r.3.886831626.391915.data_k=3_l=5_sat.gph.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/qlock/qlock-4-10-32.base.cvc.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.13.x.13.b.7.a.10_unsat.data.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_IDL/parity/12.400.graph.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/parity/03.600.graph.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/ConnectedDominatingSet/rand_80_500_1235848939_0_k=9_sat.gph.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_IDL/mathsat/fischer/FISCHER12-6-ninc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/diamonds/diamonds.11.10.i.a.u.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/schedulingIDL/j8_per0_2_mkspan1053.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/parity/07.700.graph.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/schedulingIDL/tai_15x15_2_mkspan919.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/parity/07.400.graph.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/queens_bench/super_queen/super_queen77-1.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/parity/24.300.graph.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/Sokoban/dimitri_yorick.54.steps.12.asp.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/parity/15.400.graph.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/schedulingIDL/tai_15x15_5_mkspan1003.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/Sokoban/duthen-990602.57.steps.12.asp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/queens_bench/toroidal_bench/toroidal_queen13-1.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/20.14.schur.lp.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/Averest/buble_sort/BubbleSort_safe_bgmc011.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/schedulingIDL/j8_per10_2_mkspan1034.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/20.5.schur.lp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/Averest/sorting_network/SortingNetwork8_live_bgmc007.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/mathsat/post_office/PO4-8-PO4.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/mathsat/fischer/FISCHER11-4-ninc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/HamiltonianPath/gryzzles.16.lp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/planning/plan-11.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.20.schur.lp.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/Averest/selection_sort/SelectionSort_live_bgmc003.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/cellar/scen09.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_IDL/parity/27.500.graph.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/fuzzy-matrix/Zantema_z058.srs_slice-8_constraint-227540.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_IDL/mathsat/fischer/FISCHER10-5-ninc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/schedulingIDL/tai_20x20_7_mkspan1370.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/queens_bench/toroidal_bench/toroidal_queen86-1.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_IDL/schedulingIDL/tai_15x15_5_mkspan949.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/parity/31.800.graph.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_20_20_16.lp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.13.x.13.b.5.a.15_sat.data.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_IDL/schedulingIDL/j7_per10_0_mkspan1014.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_IDL/parity/06.500.graph.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_IDL/DTP/DTP_k2_n35_c210_s13.smt2,Yices,0.0
