benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_IDL/asp/DisjunctiveScheduling/disjunctiveScheduling.in9.smt2,Z3,4782.5698
/data/SMT-LIB-non-incremental/QF_IDL/asp/DisjunctiveScheduling/disjunctiveScheduling.in7.smt2,Z3,4778.0386
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=9-height=9-colours=6.smt2,Z3,4776.942
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=10-height=10-colours=11.smt2,Z3,4736.8977
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=10-height=10-colours=5.smt2,Z3,4735.2842
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=10-height=10-colours=7.smt2,Z3,4729.6167
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=10-height=10-colours=15.smt2,Z3,4727.6621
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=10-height=10-colours=10.smt2,Z3,4703.9944
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_17_17_02.lp.smt2,Z3,4692.187
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_20_20_16.lp.smt2,Z3,4535.312
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_19_19_19.lp.smt2,Z3,4510.148
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_21_21_05.lp.smt2,Z3,4361.214
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.13.x.13.b.5.a.15_sat.data.smt2,Z3,4268.654
/data/SMT-LIB-non-incremental/QF_IDL/asp/Solitaire/solitaire-asymmetric-time=31.smt2,Z3,4255.4529999999995
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.14.x.14.b.8.a.40_unsat.data.smt2,Z3,3828.5969999999998
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.14.x.14.b.8.a.30_unsat.data.smt2,Z3,3769.76
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_21_21_12.lp.smt2,Z3,3108.92
/data/SMT-LIB-non-incremental/QF_IDL/job_shop/jobshop20-2-10-10-4-4-11.smt2,Z3,3095.7799999999997
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_20_20_04.lp.smt2,Z3,2982.5299999999997
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.15.x.15.b.10.a.20_sat.data.smt2,Z3,2901.85
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_22_22_17.lp.smt2,Z3,2894.44
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_22_22_08.lp.smt2,Z3,2740.97
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=9-height=9-colours=14.smt2,Z3,2170.2338
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=9-height=9-colours=12.smt2,Z3,1917.6112
/data/SMT-LIB-non-incremental/QF_IDL/mathsat/fischer/FISCHER14-13-ninc.smt2,Z3,1676.105
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.15.x.15.b.11.25.a.45_sat.data.smt2,Z3,1547.5743
/data/SMT-LIB-non-incremental/QF_IDL/asp/DisjunctiveScheduling/disjunctiveScheduling.in1.smt2,Z3,1361.4889600000001
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=7-height=7-colours=12.smt2,Z3,1242.8261
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_19_19_14.lp.smt2,Z3,1126.958
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=7-height=7-colours=15.smt2,Z3,986.17304
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=7-height=7-colours=14.smt2,Z3,930.17878
/data/SMT-LIB-non-incremental/QF_IDL/queens_bench/toroidal_bench/toroidal_queen43-1.smt2,Z3,929.4560000000001
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=8-height=8-colours=13.smt2,Z3,739.2112
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=8-height=8-colours=11.smt2,Z3,718.4617
/data/SMT-LIB-non-incremental/QF_IDL/asp/Labyrinth/laby_18_18_14.lp.smt2,Z3,689.44133
/data/SMT-LIB-non-incremental/QF_IDL/asp/EdgeMatching/edge-matching-width=8-height=8-colours=12.smt2,Z3,636.43561
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.13.x.13.b.7.a.30_sat.data.smt2,Z3,614.043
/data/SMT-LIB-non-incremental/QF_IDL/asp/Solitaire/solitaire-edge-time=30.smt2,Z3,544.8761999999999
/data/SMT-LIB-non-incremental/QF_IDL/asp/WireRouting/wire.14.x.14.b.8.a.20_unsat.data.smt2,Z3,432.88699999999994
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.4.schur.lp.smt2,Z3,384.2723
/data/SMT-LIB-non-incremental/QF_IDL/asp/Solitaire/solitaire-center-time=30.smt2,Z3,352.5937
/data/SMT-LIB-non-incremental/QF_IDL/asp/GraphPartitioning/rand_20_100_1235402004_0_k=6_v=4_e=4_sat.gph.smt2,Z3,324.64369999999997
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.19.schur.lp.smt2,Z3,324.425
/data/SMT-LIB-non-incremental/QF_IDL/diamonds/diamonds.15.2.i.a.u.smt2,Z3,315.3249
/data/SMT-LIB-non-incremental/QF_IDL/asp/Hanoi/mgs_towers-hanoi.113_7.smt2,Z3,305.57730000000004
/data/SMT-LIB-non-incremental/QF_IDL/parity/08.800.graph.smt2,Z3,294.5731
/data/SMT-LIB-non-incremental/QF_IDL/asp/MazeGeneration/maze-generation-width=19-height=19-density=0.01-run=1.smt2,Z3,276.265
/data/SMT-LIB-non-incremental/QF_IDL/job_shop/jobshop40-2-20-20-2-4-9.smt2,Z3,273.8733
/data/SMT-LIB-non-incremental/QF_IDL/asp/TravellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2,Z3,265.5197
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.14.schur.lp.smt2,Z3,257.325
/data/SMT-LIB-non-incremental/QF_IDL/asp/Hanoi/mgs_towers-hanoi.110_7.smt2,Z3,246.558
/data/SMT-LIB-non-incremental/QF_IDL/asp/GraphPartitioning/rand_25_200_1235404333_0_k=5_v=5_e=4_unsat.gph.smt2,Z3,240.89409999999998
/data/SMT-LIB-non-incremental/QF_IDL/asp/HierarchicalClustering/xy.14.x.14.r.3.886831626.391915.data_k=2_l=6_sat.gph.smt2,Z3,230.8485
/data/SMT-LIB-non-incremental/QF_IDL/asp/GraphColouring/graph-colouring-nodes=130-density=0.1-instance=10.smt2,Z3,229.7739
/data/SMT-LIB-non-incremental/QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721343626.dat.smt2,Z3,224.1546
/data/SMT-LIB-non-incremental/QF_IDL/asp/Sudoku/sudoku.in8.smt2,Z3,214.8684
/data/SMT-LIB-non-incremental/QF_IDL/asp/Fastfood/a7.3.3.asp.smt2,Z3,205.3733
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.1.schur.lp.smt2,Z3,202.4101
/data/SMT-LIB-non-incremental/QF_IDL/asp/TravellingSalesperson/rand_80_340_1159656267_18.lp.smt2,Z3,186.7115
/data/SMT-LIB-non-incremental/QF_IDL/schedulingIDL/j8_per0_1_mkspan1048.smt2,Z3,160.17170000000002
/data/SMT-LIB-non-incremental/QF_IDL/asp/HamiltonianPath/random.8.lp.smt2,Z3,153.76889999999997
/data/SMT-LIB-non-incremental/QF_IDL/asp/Hanoi/mgs_towers-hanoi.120_7.smt2,Z3,152.92289999999997
/data/SMT-LIB-non-incremental/QF_IDL/asp/SchurNumbers/15.20.schur.lp.smt2,Z3,141.65640000000002
/data/SMT-LIB-non-incremental/QF_IDL/asp/Sudoku/sudoku.in5.smt2,Z3,136.3799
/data/SMT-LIB-non-incremental/QF_IDL/asp/GraphPartitioning/rand_30_300_1235855358_0_k=6_v=6_e=30_sat.gph.smt2,Z3,130.46015
/data/SMT-LIB-non-incremental/QF_IDL/asp/ConnectedDominatingSet/rand_70_250_1235844252_0_k=10_unsat.gph.smt2,Z3,128.482
/data/SMT-LIB-non-incremental/QF_IDL/asp/Fastfood/a5.8.80.asp.smt2,Z3,113.60529999999999
/data/SMT-LIB-non-incremental/QF_IDL/asp/Solitaire/solitaire-asymmetric-time=27.smt2,Z3,110.64444999999999
/data/SMT-LIB-non-incremental/QF_IDL/mathsat/fischer/FISCHER13-12-ninc.smt2,Z3,104.7393
/data/SMT-LIB-non-incremental/QF_IDL/asp/Solitaire/solitaire-asymmetric-time=25.smt2,Z3,104.188499
/data/SMT-LIB-non-incremental/QF_IDL/asp/Hanoi/mgs_towers-hanoi.97_7.smt2,Z3,99.089
/data/SMT-LIB-non-incremental/QF_IDL/asp/Fastfood/a3.3.2.asp.smt2,Z3,97.52780000000001
/data/SMT-LIB-non-incremental/QF_IDL/asp/TravellingSalesperson/rand_80_340_1159656267_16.lp.smt2,Z3,93.9627
/data/SMT-LIB-non-incremental/QF_IDL/asp/Hanoi/mgs_towers-hanoi.90_7.smt2,Z3,92.36880000000001
/data/SMT-LIB-non-incremental/QF_IDL/asp/Hanoi/mgs_towers-hanoi.93_7.smt2,Z3,90.23989999999999
/data/SMT-LIB-non-incremental/QF_IDL/asp/Hanoi/mgs_towers-hanoi.87_7.smt2,Z3,90.11009999999999
/data/SMT-LIB-non-incremental/QF_IDL/asp/Hanoi/mgs_towers-hanoi.127_7.smt2,Z3,89.464
/data/SMT-LIB-non-incremental/QF_IDL/asp/TravellingSalesperson/rand_80_340_1159656267_0.lp.smt2,Z3,86.2289
/data/SMT-LIB-non-incremental/QF_IDL/asp/Solitaire/solitaire-center-time=25.smt2,Z3,84.19896999999999
/data/SMT-LIB-non-incremental/QF_IDL/diamonds/diamonds.14.2.i.a.u.smt2,Z3,77.30998
/data/SMT-LIB-non-incremental/QF_IDL/asp/TravellingSalesperson/rand_80_340_1159656267_6.lp.smt2,Z3,76.0733
/data/SMT-LIB-non-incremental/QF_IDL/parity/16.800.graph.smt2,Z3,74.05949
/data/SMT-LIB-non-incremental/QF_IDL/asp/HierarchicalClustering/xy.15.x.15.r.4.10790636.1242605.data_k=4_l=4_sat.gph.smt2,Z3,70.92759
/data/SMT-LIB-non-incremental/QF_IDL/asp/TravellingSalesperson/rand_80_340_1159656267_4.lp.smt2,Z3,69.7373
/data/SMT-LIB-non-incremental/QF_IDL/parity/11.800.graph.smt2,Z3,68.96876
/data/SMT-LIB-non-incremental/QF_IDL/asp/Solitaire/solitaire-asymmetric-time=24.smt2,Z3,68.80265999999999
/data/SMT-LIB-non-incremental/QF_IDL/asp/Sokoban/duthen-990602.37.steps.14.asp.smt2,Z3,67.8135
/data/SMT-LIB-non-incremental/QF_IDL/parity/04.800.graph.smt2,Z3,66.10122
/data/SMT-LIB-non-incremental/QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721259656.dat.smt2,Z3,63.47089999999999
/data/SMT-LIB-non-incremental/QF_IDL/parity/20.800.graph.smt2,Z3,63.408680000000004
/data/SMT-LIB-non-incremental/QF_IDL/asp/Hanoi/mgs_towers-hanoi.80_7.smt2,Z3,61.229
/data/SMT-LIB-non-incremental/QF_IDL/asp/HierarchicalClustering/xy.14.x.14.r.3.886831626.391915.data_k=3_l=5_sat.gph.smt2,Z3,61.00768
/data/SMT-LIB-non-incremental/QF_IDL/parity/07.800.graph.smt2,Z3,60.50268
/data/SMT-LIB-non-incremental/QF_IDL/asp/Solitaire/solitaire-edge-time=27.smt2,Z3,59.79822
/data/SMT-LIB-non-incremental/QF_IDL/parity/30.800.graph.smt2,Z3,58.56351
/data/SMT-LIB-non-incremental/QF_IDL/asp/ConnectedDominatingSet/rand_55_250_1235855873_0_k=7_unsat.gph.smt2,Z3,57.581900000000005
