benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/proofinuse__quant__quantifiers.adb_24_22_assert___00.smt2,CVC4,2399.9730319
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/L305-015__actions__actions.adb_18_22_assert___00.smt2,CVC4,2399.9642111
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/L305-015__actions__actions.adb_25_22_assert___00.smt2,CVC4,2399.962517
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/L305-015__actions__actions.adb_21_22_assert___00.smt2,CVC4,2399.9488919
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__dynamic_predicate__dynamic_preds_array.adb_157_33_predicate_check___00.smt2,CVC4,2399.9457759
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__dynamic_predicate__dynamic_preds_array.adb_28_18_predicate_check___00.smt2,CVC4,2399.9449781
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N917-051__longest_common_prefix__longest_common_prefix.ads_14_19_postcondition___00.smt2,CVC4,2399.9446531
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__dynamic_predicate__dynamic_preds_array.adb_128_15_predicate_check___00.smt2,CVC4,2399.9444909
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__dynamic_predicate__dynamic_preds_array.adb_151_31_predicate_check___00.smt2,CVC4,2399.9444581
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__dynamic_predicate__dynamic_preds_array.adb_90_29_overflow_check___00.smt2,CVC4,2399.9444339
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__dynamic_predicate__dynamic_preds_array.adb_116_10_predicate_check___00.smt2,CVC4,2399.9432319
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__dynamic_predicate__dynamic_preds_array.adb_118_29_overflow_check___00.smt2,CVC4,2399.9421499
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__dynamic_predicate__dynamic_preds_array.adb_93_30_overflow_check___00.smt2,CVC4,2399.9418581
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__invert_injection__invertinjection.ads_14_14_postcondition___00.smt2,CVC4,2399.9409161
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__dynamic_predicate__dynamic_preds_array.adb_104_29_overflow_check___00.smt2,CVC4,2399.940591
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N917-051__longest_common_prefix__longest_common_prefix.ads_10_19_postcondition___00.smt2,CVC4,2399.9401381
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/P427-032__inline_for_proof__inline_for_proof.ads_17_14_postcondition___00.smt2,CVC4,2399.9320321
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.ads_71_7_postcondition___00.smt2,CVC4,2399.9254831
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R709-005__membership_array__member.adb_26_19_assert___00.smt2,CVC4,2399.9143421
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_30_48_index_check___00.smt2,CVC4,2399.888814
