benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O324-035__time_triggered_response__time_triggered_response.ads_12_19_range_check___00.smt2,UE+MathSAT,2399.9801871
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__alpha_launch_examples__alpha_launch_examples.adb_54_56_range_check___00.smt2,UE+MathSAT,2399.9796991
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/M514-009__flow_array_init_in_loop__foo.adb_93_41_range_check___00.smt2,UE+MathSAT,2399.9795011
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N402-041__volatile_components__vc4.adb_17_22_assert___00.smt2,UE+MathSAT,2399.979071
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/K525-013__anonym_array__p.adb_2_25_assert___00.smt2,UE+MathSAT,2399.9789929
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/Q912-021__codepeer_by_example__filter.adb_7_13_index_check___00.smt2,UE+MathSAT,2399.9789249
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/K210-007__for_loop__s.adb_42_43_index_check___00.smt2,UE+MathSAT,2399.978749
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/M322-040__loopinv__max.adb_10_54_index_check___00.smt2,UE+MathSAT,2399.978672
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/NC17-021__my_project_-_Copy__pre_post_exercise.adb_17_14_index_check___00.smt2,UE+MathSAT,2399.978631
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__stack.adb_15_16_index_check___00.smt2,UE+MathSAT,2399.9784691
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/K210-007__for_loop__s.adb_40_63_index_check___00.smt2,UE+MathSAT,2399.9783591
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/RM_MS__assert_loop_contract__assert_loop_14.adb_9_13_loop_invariant_preserv___00.smt2,UE+MathSAT,2399.978316
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/M322-040__loopinv__max.adb_35_25_assert___00.smt2,UE+MathSAT,2399.978191
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N214-012__slice__slice_test_2.adb_10_9_range_check___00.smt2,UE+MathSAT,2399.9781261
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/K210-007__for_loop__s.adb_53_42_index_check___00.smt2,UE+MathSAT,2399.9780629
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/RM_MS__the_stack_with_conditions__the_stack_with_conditions_14.ads_23_8_initial_condition___00.smt2,UE+MathSAT,2399.9780561
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/M613-053__wp__sorters_not_global.adb_48_13_loop_invariant_init___00.smt2,UE+MathSAT,2399.9780281
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/RM_MS__asm_private_abstract_bodyref_procedureinit__stack_14.adb_18_10_index_check___00.smt2,UE+MathSAT,2399.9778789
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/KB04-013__expr_action__search.adb_10_25_range_check___00.smt2,UE+MathSAT,2399.9778601
/data/SMT-LIB-non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__arrays__arrays.adb_191_33_loop_invariant_init___00.smt2,UE+MathSAT,2399.977605
