benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT338922425342401784.smt2,MathSAT5,2399.983124
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT9169917326916030775.smt2,MathSAT5,2399.9829509
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1762851132686701632.smt2,MathSAT5,2399.9827109
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1158307652508608843.smt2,MathSAT5,2399.982171
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3899393396734597259.smt2,MathSAT5,2399.9796349
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3400215009548742987.smt2,MathSAT5,2399.9789081
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2836955304458411808.smt2,MathSAT5,2399.9787149
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1429092859451149480.smt2,MathSAT5,2399.9785861
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__TriTas.jar-obl-12__p13043_edge_closing_0.smt2,MathSAT5,2399.9776761
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2493881658895874595.smt2,MathSAT5,2399.9766421
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8166028028121827240.smt2,MathSAT5,2399.9740469
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2996900006305670167.smt2,MathSAT5,2399.972994
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8889979620478594324.smt2,MathSAT5,2399.9722211
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__consts2nt.t2_fixed__p18017_terminationG_0.smt2,MathSAT5,2399.972046
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2720024755947797885.smt2,MathSAT5,2399.970303
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2255228527935053292.smt2,MathSAT5,2399.97002
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__upAndDown_rec.jar-obl-8__p13155_edge_closing_0.smt2,MathSAT5,2399.9699139
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__consts4nt.t2_fixed__p18241_terminationG_0.smt2,MathSAT5,2399.9694439
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__upAndDownIneq_rec.jar-obl-8__p13122_edge_closing_0.smt2,MathSAT5,2399.9693709
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT324761792014523705.smt2,MathSAT5,2399.9692591
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2487505398359820795.smt2,MathSAT5,2399.9680069
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT7899418788565934630.smt2,MathSAT5,2399.9678489
