benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFNRA/20190906-CLEARSY/0004/00003.smt2,Alt-Ergo,2399.99015399
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/m40.easy.smt2,Alt-Ergo,2399.612912
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/s40.smt2,veriT+raSAT+Redlog,2398.66725
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f10.smt2,CVC4,2398.52293
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40s.smt2,CVC4,2398.07565
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m99.smt2,Yices,2397.7929
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/10u05.04.smt2,CVC4,2397.47996
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m50.smt2,MathSAT5,2385.7782
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m25.smt2,Alt-Ergo,2382.9752
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f50.smt2,MathSAT5,2380.5444
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40f.smt2,MathSAT5,2375.1107
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s50.smt2,Alt-Ergo,2366.2542
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f25.smt2,Alt-Ergo,2360.8131
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/20u10.09.smt2,MathSAT5,2201.992
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/30u15.14.smt2,veriT+raSAT+Redlog,2169.735
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40u20.19.smt2,Alt-Ergo,1270.71
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40f99.smt2,Yices,1080.14796
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40m.smt2,Yices,511.12677
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s99.smt2,MathSAT5,11.77359
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s10.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/m40.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/20revert.u.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/c40s.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40m.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/l40f.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40m10.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_UFNRA/cas/40s25.smt2,MathSAT5,0.0
