benchmark,prediction,loss
/data/SMT-LIB-incremental/AUFNIRA/aviation/union_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/dillon5_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/division_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/weber6_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/multi_behaviors_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/bts0041-bis_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/asm_memset2_why.smt2,CVC4,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/assert_why.smt2,CVC4 (2018),0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/inconsistent_why.smt2,CVC4 (2018),0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/permut_search_why.smt2,CVC4 (2018),0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/test8_floats_why.smt2,CVC4,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/test1_floats_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/array_ptr_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/struct2_why.smt2,CVC4 (2018),0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/dillon1_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/minimum_sort_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/cast_call_why.smt2,CVC4 (2018),0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/bts0094_why.smt2,CVC4,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/vieira2_why.smt2,CVC4 (2018),0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/roux_labels_why.smt2,CVC4 (2018),0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/fs384_why.smt2,CVC4 (2018),0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/overloading_why.smt2,Z3,0.0
/data/SMT-LIB-incremental/AUFNIRA/aviation/basic_why.smt2,CVC4 (2018),0.0
