benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFBVDTLIA/20172804-Barrett/rec-fun-ijcar2016/wo/wo_fd_vcs/2.5-cvc4-Naturals.scala-8.smt2,UE+MathSAT,2399.9846639
/data/SMT-LIB-non-incremental/AUFBVDTLIA/20172804-Barrett/rec-fun-ijcar2016/wo/mutant_wo_fd_vcs/2.5-cvc4-without_inducts.scala-56.smt2-2.smt2,UE+MathSAT,2399.984431
/data/SMT-LIB-non-incremental/AUFBVDTLIA/20172804-Barrett/rec-fun-ijcar2016/wo/wo_fd_vcs/2.5-cvc4-MergeSort.scala-7.smt2,UE+MathSAT,2399.984423
/data/SMT-LIB-non-incremental/AUFBVDTLIA/20172804-Barrett/rec-fun-ijcar2016/wo/wo_fd_vcs/2.5-cvc4-Naturals.scala-4.smt2,UE+MathSAT,2399.9838361
/data/SMT-LIB-non-incremental/AUFBVDTLIA/20172804-Barrett/rec-fun-ijcar2016/wo/wo_fd_vcs/2.5-cvc4-without_inducts.scala-46.smt2,UE+MathSAT,2399.983292
/data/SMT-LIB-non-incremental/AUFBVDTLIA/20172804-Barrett/rec-fun-ijcar2016/wo/mutant_wo_fd_vcs/2.5-cvc4-PropositionalLogic.scala-28.smt2-3.smt2,UE+MathSAT,2399.9831791
/data/SMT-LIB-non-incremental/AUFBVDTLIA/20172804-Barrett/rec-fun-ijcar2016/wo-wdf/mutant_wo_fd_vcs_wdf/2.5-cvc4-without_inducts.scala-56.smt2-2.smt2,UE+MathSAT,2399.983019
/data/SMT-LIB-non-incremental/AUFBVDTLIA/20172804-Barrett/rec-fun-ijcar2016/wo/mutant_wo_fd_vcs/2.5-cvc4-Naturals.scala-11.smt2-1.smt2,UE+MathSAT,2399.9828571
/data/SMT-LIB-non-incremental/AUFBVDTLIA/20172804-Barrett/rec-fun-ijcar2016/wo/wo_fd_vcs/2.5-cvc4-Naturals.scala-3.smt2,UE+MathSAT,2399.9827809
/data/SMT-LIB-non-incremental/AUFBVDTLIA/20172804-Barrett/rec-fun-ijcar2016/wo/wo_fd_vcs/2.5-cvc4-without_inducts.scala-50.smt2,UE+MathSAT,2399.982681
