benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/binarysearch32s064.smt2,Yices,2398.11169
/data/SMT-LIB-non-incremental/QF_ABV/2019-Wolf-fmbench/2019A/picorv32_mutBY_QF_ABV_NONINCR.smt2,Yices,2362.3795
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_wp_md5sum.md5_process_block.il.wp.smt2,Yices,2268.532
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere2/countbitstableuninit1024.smt2,Yices,2167.764
/data/SMT-LIB-non-incremental/QF_ABV/platania/no_init_selection_sort/no_init_selection_sort_safe12.c.smt2,Yices,1894.395
/data/SMT-LIB-non-incremental/QF_ABV/2018-Mann/fifo_array_data_integrity_w8d8b30.smt2,Yices,1104.3506
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/swapmem028ue.smt2,Yices,944.1317
/data/SMT-LIB-non-incremental/QF_ABV/stp/grep0777.stp.smt2,CVC4,327.25311
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/fifo32ia06k10.smt2,Boolector (2019),318.40599999999995
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/swapmem025ue.smt2,Yices,317.4651
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/dubreva007ue.smt2,Z3,252.06140000000002
/data/SMT-LIB-non-incremental/QF_ABV/jager/jagertest2.smt2,Bitwuzla,238.93300000000002
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/swapmem060se.smt2,CVC4,166.1899
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/fifo32ia06k08.smt2,Bitwuzla,162.67141
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere3/unconstrained09.smt2,Bitwuzla,135.6566221
/data/SMT-LIB-non-incremental/QF_ABV/stp/testcase20.stp.smt2,Yices,111.3095
