benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-3025.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_size.il.dwp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-2588.smt2,Boolector,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-0656.smt2,Boolector (2018),0.0
/data/SMT-LIB-non-incremental/QF_ABV/klee-selected-smt2/cu-no-caches/_lbracket-query-000262.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_unlink.set_quoting_style.il.dwp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_expr.re_string_construct_common.il.dwp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_flanagansaxe_date.set_char_quoting.il.flanagansaxe.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_flanagansaxe_nohup.get_quoting_style.il.flanagansaxe.smt2,Boolector,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_flanagansaxe_setuidgid.set_char_quoting.il.flanagansaxe.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-7428.smt2,Boolector,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-7820.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-7375.smt2,Boolector (2018),0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-2021.smt2,Boolector,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-1850.smt2,Boolector,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-3851.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_vdir.dev_ino_compare.il.dwp.smt2,Boolector (2018),0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_logname.set_quoting_style.il.dwp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-7217.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-7461.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/klee-selected-smt2/cu-no-caches/_lbracket-query-000086.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_sha512sum.sha512_init_ctx.il.fse-bfs.smt2,Yices,0.0
