benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/M611-010__no_return_illegal__no_return_illegal.adb_11_7_raise___00.smt2,Vampire,2399.9848639
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__imported.adb_10_7_precondition___00.smt2,Vampire,2399.984422
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/R410-015__flow_cae_pre__p.adb_17_10_precondition___00.smt2,Vampire,2399.984096
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/S720-001__static_predicate__lexer.adb_16_16_assert___00.smt2,Vampire,2399.9833879
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/O601-022__membership__membership.adb_11_22_assert___00.smt2,Vampire,2399.982054
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/O601-022__membership__membership.adb_17_22_assert___00.smt2,Vampire,2399.9819411
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/QA11-003__itp_example__test.adb_9_16_postcondition___00.smt2,Vampire,2399.976353
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/N317-015__spark_mode_off__spark_modes.ads_5_14_postcondition___00.smt2,Vampire,2399.975384
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/O708-018__root_conversion__fxp_false_check_1a.adb_7_19_assert___00.smt2,Alt-Ergo,2399.969285
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/O831-003__do333_mode_logic_qgen__nav_active_when_capture_cond_met.adb_141_22_assert___00.smt2,Alt-Ergo,2399.960254
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_2e3624_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.9544611
/data/SMT-LIB-non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/K816-021__twodim__twodim.adb_8_29_overflow_check___00.smt2,CVC4,2399.730431
