benchmark,prediction,loss
/data/SMT-LIB-incremental/AUFNIRA/aviation/dillon9_why.smt2,Z3,7199.225585
/data/SMT-LIB-incremental/AUFNIRA/aviation/heap_why.smt2,Z3,7164.282926433566
/data/SMT-LIB-incremental/AUFNIRA/aviation/ghost_label_why.smt2,Z3,7015.107211384616
/data/SMT-LIB-incremental/AUFNIRA/aviation/copy_struct_why.smt2,CVC4,6504.562540540541
/data/SMT-LIB-incremental/AUFNIRA/aviation/union_why.smt2,CVC4 (2018),4799.708882999999
/data/SMT-LIB-incremental/AUFNIRA/aviation/array_and_field_why.smt2,CVC4 (2018),4472.481030989999
/data/SMT-LIB-incremental/AUFNIRA/aviation/false_why.smt2,CVC4 (2018),4456.608862142857
/data/SMT-LIB-incremental/AUFNIRA/aviation/test2_floats_why.smt2,CVC4 (2018),4195.78657501
/data/SMT-LIB-incremental/AUFNIRA/aviation/muller_why.smt2,CVC4 (2018),3769.8814542903447
/data/SMT-LIB-incremental/AUFNIRA/aviation/test3_floats_why.smt2,Z3,3266.1035389999997
/data/SMT-LIB-incremental/AUFNIRA/aviation/oct_vs_pol_why.smt2,CVC4 (2018),3199.84848904
/data/SMT-LIB-incremental/AUFNIRA/aviation/r_strcpy_why.smt2,CVC4,2400.1007390100003
/data/SMT-LIB-incremental/AUFNIRA/aviation/dillon6_why.smt2,Z3,2400.0583149999993
/data/SMT-LIB-incremental/AUFNIRA/aviation/recursion_why.smt2,CVC4,2400.03060489
/data/SMT-LIB-incremental/AUFNIRA/aviation/cast_call_why.smt2,CVC4,2400.0296569
/data/SMT-LIB-incremental/AUFNIRA/aviation/zones2_why.smt2,CVC4,2400.021583050001
/data/SMT-LIB-incremental/AUFNIRA/aviation/addrof_global_why.smt2,Z3,2400.020849030001
/data/SMT-LIB-incremental/AUFNIRA/aviation/footprint_why.smt2,CVC4,2400.0187799000005
/data/SMT-LIB-incremental/AUFNIRA/aviation/array_field_why.smt2,CVC4,2400.0108569800004
/data/SMT-LIB-incremental/AUFNIRA/aviation/zones_why.smt2,CVC4,2400.01076689
/data/SMT-LIB-incremental/AUFNIRA/aviation/weber2_why.smt2,Z3,2400.0098299
/data/SMT-LIB-incremental/AUFNIRA/aviation/assert_why.smt2,Z3,2400.0080400000006
/data/SMT-LIB-incremental/AUFNIRA/aviation/StrCpy_why.smt2,CVC4,2400.0074990000003
/data/SMT-LIB-incremental/AUFNIRA/aviation/fp-epsline_why.smt2,CVC4,2400.007458100001
/data/SMT-LIB-incremental/AUFNIRA/aviation/eps_line_why.smt2,Z3,1938.4632900000001
/data/SMT-LIB-incremental/AUFNIRA/aviation/test4_floats_why.smt2,Z3,770.8283299999998
/data/SMT-LIB-incremental/AUFNIRA/aviation/test5_floats_why.smt2,Z3,278.1511929999999
/data/SMT-LIB-incremental/AUFNIRA/aviation/test8_floats_why.smt2,Z3,148.87221
/data/SMT-LIB-incremental/AUFNIRA/aviation/interval_arith_struct_why.smt2,CVC4,27.639092
/data/SMT-LIB-incremental/AUFNIRA/aviation/hd_snoob_why.smt2,CVC4,8.77106
/data/SMT-LIB-incremental/AUFNIRA/aviation/interval_arith_why.smt2,CVC4 (2018),1.227998
/data/SMT-LIB-incremental/AUFNIRA/aviation/queue_why.smt2,CVC4 (2018),1.067259
/data/SMT-LIB-incremental/AUFNIRA/aviation/array_multi_why.smt2,CVC4,0.8417520000000001
/data/SMT-LIB-incremental/AUFNIRA/aviation/bts0040_why.smt2,CVC4,0.38564710000082414
/data/SMT-LIB-incremental/AUFNIRA/aviation/phase1_why.smt2,CVC4 (2018),0.31340399999999996
/data/SMT-LIB-incremental/AUFNIRA/aviation/inv_perm_minimal_why.smt2,CVC4,0.307025
/data/SMT-LIB-incremental/AUFNIRA/aviation/separation_why.smt2,CVC4,0.257343
/data/SMT-LIB-incremental/AUFNIRA/aviation/struct4_why.smt2,CVC4,0.2243329
/data/SMT-LIB-incremental/AUFNIRA/aviation/minimum_sort_why.smt2,CVC4 (2018),0.22113899999999997
/data/SMT-LIB-incremental/AUFNIRA/aviation/all_zeros_why.smt2,CVC4,0.212738
/data/SMT-LIB-incremental/AUFNIRA/aviation/addrof_field_why.smt2,CVC4,0.192705
/data/SMT-LIB-incremental/AUFNIRA/aviation/weber9_why.smt2,CVC4 (2018),0.16972899999999996
/data/SMT-LIB-incremental/AUFNIRA/aviation/addrof_local_why.smt2,CVC4,0.16324399999999997
/data/SMT-LIB-incremental/AUFNIRA/aviation/address_why.smt2,CVC4,0.161753
/data/SMT-LIB-incremental/AUFNIRA/aviation/arith_why.smt2,CVC4,0.1515379
