benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/selsort012un.smt2,Boolector (2019),1910.688
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_sha1sum.sha1_process_block.il.dwp.smt2,Boolector (2019),462.710503
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_shuf.isaac_mix.il.dwp.smt2,Bitwuzla,343.0969
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_true_functions_dwp_sha1sum.sha1_process_block.il.dwp.smt2,Bitwuzla,338.13541999999995
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/swapmem028ue.smt2,Bitwuzla,332.2597
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere2/countbitstableuninit1024.smt2,Bitwuzla,321.26300000000003
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_sha1sum.sha1_process_block.il.dwp.smt2,Bitwuzla,285.35134
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/fifo32ia06k10.smt2,Bitwuzla,262.14200000000005
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try4_true_functions_dwp_shred.isaac_mix.il.dwp.smt2,Boolector (2019),251.81194000000002
/data/SMT-LIB-non-incremental/QF_ABV/jager/jagertest2.smt2,Bitwuzla,238.93300000000002
/data/SMT-LIB-non-incremental/QF_ABV/2019-Wolf-fmbench/2018E/VexRiscv-regch0-30-unrolled-mem.smt2,Bitwuzla,227.70800000000008
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/fifo32ia06k09.smt2,Bitwuzla,221.28199999999998
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/swapmem025ue.smt2,Bitwuzla,168.9251
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/fifo32ia06k08.smt2,Bitwuzla,162.67141
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/dubreva009ue.smt2,Bitwuzla,153.87400000000002
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/swapmem021ue.smt2,Bitwuzla,145.5917
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/swapmem020ue.smt2,Boolector (2019),139.2783
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_fmt.fmt_paragraph.il.dwp.smt2,Bitwuzla,137.99481
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere3/unconstrained09.smt2,Bitwuzla,135.6566221
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/swapmem022ue.smt2,Bitwuzla,110.3381
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/swapmem019ue.smt2,Bitwuzla,105.92245
/data/SMT-LIB-non-incremental/QF_ABV/calc2/calc2_sec2_shifter_bmc30.atlas.smt2,Bitwuzla,103.55900000000003
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/fifo32ia04k10.smt2,Bitwuzla,76.70157999999999
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_md5sum.md5_process_block.il.dwp.smt2,Bitwuzla,70.30208999999999
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_shuf.isaac_mix.il.dwp.smt2,Bitwuzla,42.166340000000005
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_shred.isaac_mix.il.dwp.smt2,Bitwuzla,41.686319999999995
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_ptx.optimize_subexps.il.dwp.smt2,Bitwuzla,36.151283
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/fifo32ia04k07.smt2,Bitwuzla,35.472398
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_mkdir.mode_adjust.il.dwp.smt2,Bitwuzla,35.337518
/data/SMT-LIB-non-incremental/QF_ABV/bmc-arrays/ndes.smt2,Bitwuzla,33.52533
/data/SMT-LIB-non-incremental/QF_ABV/stp/testcase16.stp.smt2,Bitwuzla,31.829970000000003
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/matrixmultcomm11.smt2,Bitwuzla,29.30952
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_fmt.fmt_paragraph.il.dwp.smt2,Bitwuzla,25.455158
/data/SMT-LIB-non-incremental/QF_ABV/calc2/calc2_sec2_shifter_mult_bmc30.atlas.smt2,Bitwuzla,23.128000000000043
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_tac.peek_token_bracket.il.dwp.smt2,Bitwuzla,22.2429421
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_ptx.peek_token_bracket.il.dwp.smt2,Boolector (2019),21.349365
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere/matrixmultcomm08.smt2,Bitwuzla,21.124603
