benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3764562857754408102.smt2,ProB,4799.990913
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT201343392445663280.smt2,ProB,4799.99041208
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3082703823983150903.smt2,ProB,4799.99035102
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT5087586252253381683.smt2,ProB,4799.9899439
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT5801445291144328999.smt2,ProB,4799.9897351
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__prime.t2_fixed__p8270_terminationG_0.smt2,ProB,4799.9888721
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3033751560808596440.smt2,AProVE,4799.9885529
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT515267918099496688.smt2,SMTRAT,4799.9885391
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT341225430958194141.smt2,ProB,4799.98843
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT6236602823067640047.smt2,ProB,4799.9883661
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT475511664945327223.smt2,ProB,4799.9883209
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT7694056582340742959.smt2,ProB,4799.9880711
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8031821898982411562.smt2,ProB,4799.9877569
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT5846082799848296945.smt2,AProVE,4799.9875919
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3514190349462039560.smt2,AProVE,4799.9874481
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8518355431012763871.smt2,SMTRAT,4799.9874341
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT5335778151184305698.smt2,ProB,4799.9862071
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT2880723937725784395.smt2,MathSAT-na,4799.9861351
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3014044190913457703.smt2,AProVE,4799.986118
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1394189460402507471.smt2,AProVE,4799.985952
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1321732654504728591.smt2,ProB,4799.98583
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1762851132686701632.smt2,CVC4-SymBreak,4799.9857069
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT8022550991004268836.smt2,MathSAT-na,4799.985695
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT4150067677972105191.smt2,AProVE,4799.98569
/data/SMT-LIB-non-incremental/QF_NIA/UltimateLassoRanker/HarrisLalNoriRajamani-2010SAS-Fig2-alloca_unknown-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,ProB,4799.984871
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT7665915928405925138.smt2,ProB,4799.9846781
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT3039391242675517681.smt2,ProB,4799.9842999
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT1870041707088237226.smt2,MathSAT,4799.9842381
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/SAT14/1652.smt2,ProB,4799.98394
