benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvashr_0434.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1167.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_855.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_13540.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/asp/GraphColouring/graph-colouring-nodes=125-density=0.1-instance=3.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app7/bench_3414.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_54.smt2,STP-MergeSat,0.0
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere2/smulov1bw48.smt2,LazyBV2Int,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15239.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_12398.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/spear/inn_v2.4.3/innd_innd_vc33344.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/asp/Labyrinth/laby_18_18_11.lp.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17762.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15220.smt2,STP-MergeSat,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app12/bench_5590.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/float/newton.5.1.i.smt2,MinkeyRink,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app7/bench_8565.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app12/bench_5537.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_1828.smt2,MinkeyRink,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_1196.smt2,STP,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app7/bench_1989.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6183.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app7/bench_242.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4758.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_1350.smt2,MinkeyRink,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app7/bench_441.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app1/bench_1189.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere3/maxandminor128.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app7/bench_665.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app8/bench_208.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_2430.smt2,STP-MergeSat,0.0
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_040_002_0064.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1214.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc6221.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6646.smt2,STP,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_3075.smt2,MinkeyRink,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7506.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_11432.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app7/bench_587.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1436.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1684.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4875.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_12408.smt2,STP-MergeSat,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app7/bench_2079.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app7/bench_2129.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app1/bench_738.smt2,STP,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_12734.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_3943.smt2,STP-MergeSat,0.0
/data/SMT-LIB-non-incremental/QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10696.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15318.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_111.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1363.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/sage/app7/bench_169.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1389.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc5826.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6006.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331025.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_16050.smt2,STP,0.0
/data/SMT-LIB-non-incremental/QF_BV/float/e3.c.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BV/asp/WireRouting/wire.13.x.13.b.5.a.15_sat.data.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_024_032_0256.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331082.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4068.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8771.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8888.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_1692.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvshl_0877.smt2,Poolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331242.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_446.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1177.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17164.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15561.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_16279.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc5303.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_13460.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_052_001_0512.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1176.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_731.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvashr_0503.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15251.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331175.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_BV/asp/MazeGeneration/maze-generation-width=21-height=21-density=0.01-run=4.smt2,LazyBV2Int,0.0
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15256.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1431.smt2,STP-MergeSat,0.0
