benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_flanagansaxe_pathchk.set_char_quoting.il.flanagansaxe.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-1027.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-3282.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_printenv.quoting_options_from_style.il.dwp.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-3827.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_tsort.scan_zeros.il.disjunctions_3.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_wp_vdir.xstrcoll_mtime.il.wp.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_stty.quoting_options_from_style.il.flanagansaxe.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_sha512sum.sha384_read_ctx.il.flanagansaxe.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_join.set_char_quoting.il.dwp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_printenv.get_quoting_style.il.dwp.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_tail.get_quoting_style.il.dwp.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-0912.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000122.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_stat.set_quoting_style.il.dwp.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-0800.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_uptime.set_quoting_style.il.disjunctions_1.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-7087.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_pathchk.set_quoting_style.il.flanagansaxe.smt2,Boolector (2019),0.0
/data/SMT-LIB-non-incremental/QF_ABV/klee-selected-smt2/cu-large-qids/_lbracket-query-009.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_flanagansaxe_expr.calc_next.il.flanagansaxe.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/brummayerbiere2/countbitstableoffbyone0008.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try4_true_functions_dwp_cat.get_quoting_style.il.dwp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-2667.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_ABV/egt/egt-5361.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_link.set_quoting_style.il.dwp.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_pr.hold_file.il.fse-bfs.smt2,Yices,0.0
