benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp12_9vars_5ite_unsat.smt2,ProB,4799.99127012
/data/SMT-LIB-non-incremental/QF_LIA/rings_preprocessed/ring_2exp12_4vars_2ite_unsat.smt2,veriT,4799.99119204
/data/SMT-LIB-non-incremental/QF_LIA/tightrhombus/tightrhombus-273-245-0.smt2,ProB,4799.99118009
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp6_5vars_4ite_unsat.smt2,veriT,4799.99115207
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/smt/25-vars/problem__010.smt2,veriT,4799.99114895
/data/SMT-LIB-non-incremental/QF_LIA/dillig/45-8.smt2,veriT,4799.99112988
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/coef-size/smt/size-70/problem__003.smt2,ProB,4799.99109811
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage19.smt2,CVC4-SymBreak,4799.99108598
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-70/c70_problem__004.smt2.slack.smt2,Yices,4799.99101104
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/25-vars/v25_problem__004.smt2.slack.smt2,ProB,4799.9909801
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-80/c80_problem__005.smt2.slack.smt2,CVC4,4799.99095206
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp16_4vars_3ite_unsat.smt2,ProB,4799.9909509
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp6_4vars_3ite_unsat.smt2,veriT,4799.99095011
/data/SMT-LIB-non-incremental/QF_LIA/rings_preprocessed/ring_2exp12_5vars_3ite_unsat.smt2,veriT,4799.99090401
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp8_5vars_1ite_unsat.smt2,ProB,4799.99084107
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__005.smt2.slack.smt2,ProB,4799.99082705
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp10_6vars_5ite_unsat.smt2,veriT,4799.99081494
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_002.smt2.slack.smt2,CVC4-SymBreak,4799.99080206
/data/SMT-LIB-non-incremental/QF_LIA/cut_lemmas/20-vars/cut_lemma_01_010.smt2,veriT,4799.99078406
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp14_4vars_1ite_unsat.smt2,veriT,4799.99078389
