benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8121_safety_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/AProVE/aproveSMT6054561478528727566.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/SAT14/982.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GCD2.c__p23111_terminationG_0.smt2,SMTRAT,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2_fixed__p24178_safety_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9590_safety_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__db3.t2__terminationS_43_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9353_terminationG_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20935_safety_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__janne_complex.t2__p2199_terminationG_0.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-new.t2__p21979_terminationG_0.smt2,SMTRAT,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.t2__p9176_terminationG_0.smt2,SMTRAT,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24056_edge_closing_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p18230_safety_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.t2__p9100_terminationG_0.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2__terminationS_14_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GCD2.c__p23110_terminationG_0.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p25884_safety_0.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25974_terminationG_0.smt2,SMTRAT,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-middle.jar-obl-8__p14228_terminationG_0.smt2,SMTRAT,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p9325_terminationG_0.smt2,AProVE,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31264_safety_0.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30873_safety_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-middle.jar-obl-8__p14218_terminationG_0.smt2,SMTRAT,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p5075_terminationG_0.smt2,SMTRAT,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30959_safety_0.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.t2__terminationS_27_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/SAT14/169.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32129_safety_0.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_NIA/leipzig/term-EcNqkB.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-cousot.jar-obl-8__p13493_terminationG_0.smt2,SMTRAT,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2834_safety_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8362_safety_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/SAT14/1208.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/SAT14/610.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8962_safety_0.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__zlib-adler32.c.t2__p25920_safety_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__foo.t2__terminationS_17_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/SAT14/739.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p10543_safety_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.fixed.t2__terminationS_17_0.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NO_22.c__p24782_terminationG_0.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateRemoveAll.jar-obl-11__terminationS_16_0.smt2,SMTRAT,0.0
/data/SMT-LIB-non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__UpAndDownIneq.c__p26231_terminationG_0.smt2,Yices,0.0
