benchmark,prediction,loss
/data/SMT-LIB-incremental/AUFNIRA/aviation/heap_why.smt2,Z3,7164.282926433566
/data/SMT-LIB-incremental/AUFNIRA/aviation/asm_memset2_why.smt2,Z3,7144.523585730338
/data/SMT-LIB-incremental/AUFNIRA/aviation/binary_search_overflows_why.smt2,Z3,7090.312537909092
/data/SMT-LIB-incremental/AUFNIRA/aviation/bitvector_why.smt2,UE+MathSAT,4801.373868000001
/data/SMT-LIB-incremental/AUFNIRA/aviation/roux3_why.smt2,UE+MathSAT,4801.364802100001
/data/SMT-LIB-incremental/AUFNIRA/aviation/vieira2_why.smt2,UE+MathSAT,4801.3503709999995
/data/SMT-LIB-incremental/AUFNIRA/aviation/dillon5_why.smt2,UE+MathSAT,4801.349424999999
/data/SMT-LIB-incremental/AUFNIRA/aviation/varname_why.smt2,UE+Yices,4801.349057900001
/data/SMT-LIB-incremental/AUFNIRA/aviation/null2_why.smt2,UE+MathSAT,4801.340101000001
/data/SMT-LIB-incremental/AUFNIRA/aviation/struct3_why.smt2,UE+MathSAT,4801.335692
/data/SMT-LIB-incremental/AUFNIRA/aviation/behavior_why.smt2,UE+MathSAT,4801.333162
/data/SMT-LIB-incremental/AUFNIRA/aviation/addrof_field_why.smt2,UE+MathSAT,4801.3289669999995
/data/SMT-LIB-incremental/AUFNIRA/aviation/roux_labels_why.smt2,UE+MathSAT,4801.328087000001
/data/SMT-LIB-incremental/AUFNIRA/aviation/goto_why.smt2,UE+MathSAT,4801.324812
/data/SMT-LIB-incremental/AUFNIRA/aviation/loop_inv_why.smt2,UE+MathSAT,4801.322433
/data/SMT-LIB-incremental/AUFNIRA/aviation/bts0094_why.smt2,UE+MathSAT,4801.317136
/data/SMT-LIB-incremental/AUFNIRA/aviation/dillon7_why.smt2,UE+MathSAT,4801.312035
/data/SMT-LIB-incremental/AUFNIRA/aviation/separation4_why.smt2,UE+MathSAT,4801.311374999999
/data/SMT-LIB-incremental/AUFNIRA/aviation/permut_search2_why.smt2,UE+MathSAT,4801.308191
/data/SMT-LIB-incremental/AUFNIRA/aviation/discr_union_why.smt2,UE+MathSAT,4801.304291
/data/SMT-LIB-incremental/AUFNIRA/aviation/invariants_why.smt2,UE+MathSAT,4801.303003
/data/SMT-LIB-incremental/AUFNIRA/aviation/bug184_why.smt2,UE+Yices,4801.289884
/data/SMT-LIB-incremental/AUFNIRA/aviation/ref_glob_why.smt2,UE+MathSAT,4801.285897000001
/data/SMT-LIB-incremental/AUFNIRA/aviation/weber3_why.smt2,UE+MathSAT,4801.285001
/data/SMT-LIB-incremental/AUFNIRA/aviation/count_bits_why.smt2,UE+MathSAT,4801.284995
/data/SMT-LIB-incremental/AUFNIRA/aviation/string_basic_why.smt2,UE+MathSAT,4801.284783
/data/SMT-LIB-incremental/AUFNIRA/aviation/struct2_why.smt2,UE+MathSAT,4801.283842999999
