benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp4_7vars_5ite_unsat.smt2,Z3,2399.99076394
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp10_8vars_7ite_unsat.smt2,veriT,2399.99065092
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp4_8vars_5ite_unsat.smt2,Z3,2399.99058401
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp16_6vars_1ite_unsat.smt2,veriT,2399.990378
/data/SMT-LIB-non-incremental/QF_LIA/cut_lemmas/15-vars/cut_lemma_02_003.smt2,MathSAT5,2399.99033809
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/coef-size/smt/size-90/problem__004.smt2,veriT,2399.99033497
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp14_7vars_6ite_unsat.smt2,Z3,2399.99030493
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp12_6vars_4ite_unsat.smt2,veriT,2399.99016793
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp14_7vars_3ite_unsat.smt2,Z3,2399.99015502
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp12_9vars_7ite_unsat.smt2,veriT,2399.99014198
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp14_8vars_2ite_unsat.smt2,Z3,2399.99008705
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp8_9vars_2ite_unsat.smt2,veriT,2399.989826
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp10_9vars_1ite_unsat.smt2,Z3,2399.989762
/data/SMT-LIB-non-incremental/QF_LIA/pidgeons/pigeon-hole-19.smt2,Z3,2399.9897439
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp4_7vars_6ite_unsat.smt2,Z3,2399.9896549
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp14_6vars_3ite_unsat.smt2,Z3,2399.988899
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp6_8vars_1ite_unsat.smt2,Z3,2399.9887139
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/smt/35-vars/problem__015.smt2,veriT,2399.9885
/data/SMT-LIB-non-incremental/QF_LIA/prime-cone/prime_cone_sat_5.smt2,veriT,2399.9884209
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_009.smt2.slack.smt2,veriT,2399.9883961
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp10_7vars_5ite_unsat.smt2,Z3,2399.9880319
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp14_9vars_8ite_unsat.smt2,veriT,2399.9878441
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp4_9vars_8ite_unsat.smt2,Z3,2399.9877239
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp4_4vars_1ite_unsat.smt2,veriT,2399.9876789
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp10_6vars_5ite_unsat.smt2,veriT,2399.9874571
/data/SMT-LIB-non-incremental/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_003.smt2.slack.smt2,MathSAT5,2399.9870551
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp6_8vars_5ite_unsat.smt2,Z3,2399.986967
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp8_8vars_5ite_unsat.smt2,veriT,2399.986775
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/smt/45-vars/problem_2__017.smt2,veriT,2399.9866589
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp12_9vars_5ite_unsat.smt2,veriT,2399.986633
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem__007.smt2,veriT,2399.986594
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp16_9vars_5ite_unsat.smt2,Z3,2399.98592
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp16_7vars_3ite_unsat.smt2,veriT,2399.985792
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp10_9vars_4ite_unsat.smt2,veriT,2399.985571
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/int_from_list/prp-61-46.smt2,veriT,2399.984968
/data/SMT-LIB-non-incremental/QF_LIA/dillig/40-16.smt2,veriT,2399.9848051
/data/SMT-LIB-non-incremental/QF_LIA/slacks/45-7.slack.smt2,SMTInterpol,2399.984541
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/int_from_list/prp-20-49.smt2,veriT,2399.9828851
/data/SMT-LIB-non-incremental/QF_LIA/cut_lemmas/15-vars/cut_lemma_03_005.smt2,veriT,2399.9826031
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/int_from_list/prp-55-50.smt2,veriT,2399.9823911
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/coef-size/smt/size-60/problem__003.smt2,veriT,2399.982256
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/int_from_list/prp-54-50.smt2,veriT,2399.982244
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/smt/45-vars/problem__018.smt2,veriT,2399.9821461
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/smt/40-vars/problem_2__021.smt2,veriT,2399.9820191
/data/SMT-LIB-non-incremental/QF_LIA/CAV_2009_benchmarks/smt/45-vars/problem_2__021.smt2,veriT,2399.9809131
/data/SMT-LIB-non-incremental/QF_LIA/nec-smt/large/int_from_list/prp-55-46.smt2,veriT,2399.9792489
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp4_6vars_5ite_unsat.smt2,Z3,2399.9788651
/data/SMT-LIB-non-incremental/QF_LIA/rings/ring_2exp16_9vars_8ite_unsat.smt2,MathSAT5,2399.978317
