benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/sqrt_Newton_pseudoconstant_true-unreach-call.c_1.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/2019-Gudemann/expInUnit2.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/2019-Gudemann/propExpLn1.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/sqrt_Householder_constant_true-unreach-call.c_3.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/2019-Gudemann/propLnExp3.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/2019-Gudemann/propLnExp2.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0260_true-unreach-call.c_3.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0320_true-unreach-call.c_6.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0550b_true-unreach-call.c_9.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/2019-Gudemann/maxReward.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0250b_true-unreach-call.c_4.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0270a_true-unreach-call.c_21.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0490a_true-unreach-call.c_2.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0833_true-unreach-call.c_11.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0320_true-unreach-call.c_5.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/2019-Gudemann/lnLaw.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/2019-Gudemann/propLnExp1.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/2019-Gudemann/propExpLn0.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/2019-Gudemann/propLnExp0.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/Double_div_bad_false-unreach-call.i_0.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0460_true-unreach-call.c_3.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_FPLRA/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0330b_true-unreach-call.c_10.smt2,CVC4,0.0
